sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
259,power2,LC,All Age,202.7930907,0.000129906,0.697561211,7.458154208,-10242.70107,-10234.39092
260,power2,LC,All Age,224.4385146,6.36E-05,0.766718636,6.790766213,-10282.00798,-10273.69783
261,power2,LC,All Age,64.16067506,0.000189967,0.798228904,6.383041147,-10163.04721,-10154.73706
262,power2,LC,All Age,89.86817905,0.000168726,0.766295251,7.565579985,-10271.0911,-10262.78095
263,power2,LC,All Age,70.71049856,9.88E-05,0.853756234,7.489078837,-10177.4851,-10169.17495
264,power2,LC,All Age,188.7556915,0.000121685,0.713266549,6.101760718,-10174.08722,-10165.77707
265,power2,LC,All Age,217.8906336,0.000107348,0.712871218,7.052309476,-10222.81939,-10214.50924
266,power2,LC,All Age,105.1907961,0.000318074,0.676010292,5.902017427,-10239.44435,-10231.1342
267,power2,LC,All Age,48.35197761,0.000442825,0.743846502,8.597788112,-10272.30477,-10263.99462
268,power2,LC,All Age,123.462539,0.00017162,0.731327165,5.873841064,-10289.42089,-10281.11075
269,power2,LC,All Age,53.06360348,0.000228137,0.807025289,8.199070631,-10150.69668,-10142.38653
270,power2,LC,All Age,146.8152346,0.000291646,0.643803902,8.495673277,-10278.87784,-10270.56769
271,power2,LC,All Age,75.86457943,0.000134278,0.812560055,7.051045325,-10246.68694,-10238.37679
272,power2,LC,All Age,189.9396708,0.000106715,0.725423135,8.527272226,-10284.62538,-10276.31523
273,power2,LC,All Age,75.95031469,0.000281445,0.729903183,7.346152045,-10328.58711,-10320.27696
274,power2,LC,All Age,342.4966549,5.23E-05,0.736486857,6.167470872,-10183.93213,-10175.62198
